"name","icpsr","state","party","congress","chamber","born","died","image","source","provenance"
"VINCENT, Bird J.","009673","Michigan","Republican Party",71,"House",1880,1931,"images/bio_guide/009673.jpg","bio_guide",""
"WAINWRIGHT, Jonathan Mayhew","009715","New York","Republican Party",71,"House",1864,1945,"images/bio_guide/009715.jpg","bio_guide",""
"WALKER, Lewis Leavell","009751","Kentucky","Republican Party",71,"House",1873,1944,"images/wiki/009751.jpg","wiki",""
"WARREN, Francis Emroy","009842","Wyoming","Republican Party",71,"Senate",1844,1929,"images/bio_guide/009842.jpg","bio_guide",""
"WATRES, Laurence Hawley","009869","Pennsylvania","Republican Party",71,"House",1882,1964,"images/bio_guide/009869.jpg","bio_guide",""
"WHITEHEAD, Joseph","010051","Virginia","Democratic Party",71,"House",1867,1938,"images/bio_guide/010051.jpg","bio_guide",""
"WILLIAMS, Thomas Sutler","010184","Illinois","Republican Party",71,"House",1872,1940,"images/bio_guide/010184.jpg","bio_guide",""
"WILLIAMSON, Ben Mitchell","010192","Kentucky","Democratic Party",71,"Senate",1864,1941,"images/bio_guide/010192.jpg","bio_guide",""
"WINGO, Otis Theodore","010274","Arkansas","Democratic Party",71,"House",1877,1930,"images/bio_guide/010274.jpg","bio_guide",""
"WOLVERTON, John Marshall","010315","West Virginia","Republican Party",71,"House",1872,1944,"images/bio_guide/010315.jpg","bio_guide",""
"ZIHLMAN, Frederick Nicholas","010467","Maryland","Republican Party",71,"House",1879,1935,"images/bio_guide/010467.jpg","bio_guide",""
"ANTHONY, Daniel Read, Jr.","000211","Kansas","Republican Party",70,"House",1870,1931,"images/bio_guide/000211.jpg","bio_guide",""
"BAYARD, Thomas Francis, Jr.","000529","Delaware","Democratic Party",70,"Senate",1868,1942,"images/bio_guide/000529.jpg","bio_guide",""
"BECK, Joseph David","000562","Wisconsin","Republican Party",70,"House",1866,1936,"images/bio_guide/000562.jpg","bio_guide",""
"BEGG, James Thomas","000583","Ohio","Republican Party",70,"House",1877,1963,"images/bio_guide/000583.jpg","bio_guide",""
"BERGER, Victor Luitpold","000665","Wisconsin","Socialist Party",70,"House",1860,1929,"images/bio_guide/000665.jpg","bio_guide",""
"BLACK, Eugene","000739","Texas","Democratic Party",70,"House",1879,1975,"images/bio_guide/000739.jpg","bio_guide",""
"BOIES, William Dayton","000827","Iowa","Republican Party",70,"House",1857,1932,"images/bio_guide/000827.jpg","bio_guide",""
"BOWLES, Henry Leland","000914","Massachusetts","Republican Party",70,"House",1866,1932,"images/bio_guide/000914.jpg","bio_guide",""
"BOWLING, William Bismarck","000916","Alabama","Democratic Party",70,"House",1870,1946,"images/bio_guide/000916.jpg","bio_guide",""
"BRUCE, William Cabell","001157","Maryland","Democratic Party",70,"Senate",1860,1946,"images/bio_guide/001157.jpg","bio_guide",""
"BUSHONG, Robert Grey","001333","Pennsylvania","Republican Party",70,"House",1883,1951,"images/wiki/001333.jpg","wiki",""
"BUTLER, Thomas Stalker","001352","Pennsylvania","Republican Party",70,"House",1855,1928,"images/bio_guide/001352.jpg","bio_guide",""
"CARSS, William Leighton","001544","Minnesota","Farmer-Labor Party",70,"House",1865,1931,"images/bio_guide/001544.jpg","bio_guide",""
"COHEN, William Wolfe","001913","New York","Democratic Party",70,"House",1874,1940,"images/wiki/001913.jpg","wiki",""
"COMBS, George Hamilton, Jr.","001959","Missouri","Democratic Party",70,"House",1899,1977,"images/bio_guide/001959.jpg","bio_guide",""
"COOLIDGE, Calvin","099897","President","Republican Party",70,"President",1872,1933,"images/wiki/099897.jpg","wiki",""
"CURTIS, Charles","002269","Kansas","Republican Party",70,"Senate",1860,1936,"images/bio_guide/002269.jpg","bio_guide",""
"DAVEY, Martin Luther","002362","Ohio","Democratic Party",70,"House",1884,1946,"images/bio_guide/002362.jpg","bio_guide",""
"DEAL, Joseph Thomas","002442","Virginia","Democratic Party",70,"House",1860,1942,"images/bio_guide/002442.jpg","bio_guide",""
"EDWARDS, Edward Irving","002863","New Jersey","Democratic Party",70,"Senate",1863,1931,"images/bio_guide/002863.jpg","bio_guide",""
"ENGLAND, Edward Theodore","002964","West Virginia","Republican Party",70,"House",1869,1934,"images/wiki/002964.jpg","wiki",""
"FAUST, Charles Lee","003082","Missouri","Republican Party",70,"House",1879,1928,"images/bio_guide/003082.jpg","bio_guide",""
"FERRIS, Woodbridge Nathan","003120","Michigan","Democratic Party",70,"Senate",1853,1928,"images/bio_guide/003120.jpg","bio_guide",""
"FITZGERALD, William Thomas","003188","Ohio","Republican Party",70,"House",1858,1939,"images/bio_guide/003188.jpg","bio_guide",""
"FROTHINGHAM, Louis Adams","003382","Massachusetts","Republican Party",70,"House",1871,1928,"images/bio_guide/003382.jpg","bio_guide",""
"FURLOW, Allen John","003417","Minnesota","Republican Party",70,"House",1890,1954,"images/bio_guide/003417.jpg","bio_guide",""
"GALLIVAN, James Ambrose","003440","Massachusetts","Democratic Party",70,"House",1866,1928,"images/bio_guide/003440.jpg","bio_guide",""
"GARDNER, Frank","003466","Indiana","Democratic Party",70,"House",1872,1937,"images/bio_guide/003466.jpg","bio_guide",""
"GARRETT, Finis James","003490","Tennessee","Democratic Party",70,"House",1875,1956,"images/bio_guide/003490.jpg","bio_guide",""
"GOODING, Frank Robert","003676","Idaho","Republican Party",70,"Senate",1859,1928,"images/bio_guide/003676.jpg","bio_guide",""
"GREEN, William Raymond","003786","Iowa","Republican Party",70,"House",1856,1947,"images/bio_guide/003786.jpg","bio_guide",""
